hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-0.137727,20.3162,0.658056,-0.00550733,0.27104,0.197672,1.38897,0.549886,-4.86447,3.93811
-0.160988,20.3037,0.646695,0.00326745,0.274491,0.184694,1.42237,0.558495,-4.72527,3.25298
-0.204407,20.2725,0.604005,0.00723811,0.287913,0.180407,1.46926,0.5735,-4.81257,2.87602
-0.180676,20.2479,0.567838,0.00470268,0.310422,0.183931,1.49462,0.587393,-5.93084,3.28847
-0.169338,20.2165,0.537138,-0.00206725,0.335643,0.179516,1.48486,0.590484,-6.27501,3.36505
-0.121913,20.1618,0.510518,-0.00680989,0.354521,0.164217,1.45582,0.583215,-5.57288,3.08246
-0.145192,20.1137,0.499325,-0.00721446,0.354187,0.150694,1.4369,0.574515,-5.36868,2.66926
-0.255431,20.0604,0.50591,-0.00386115,0.336724,0.149871,1.43917,0.571812,-5.259,2.68571
-0.265981,20.0038,0.514123,-0.000910448,0.323143,0.159625,1.45211,0.574806,-5.65818,3.18816
-0.204021,19.9553,0.523274,-0.000646167,0.323349,0.17124,1.46347,0.579791,-6.35767,3.89895
-0.313919,19.906,0.540527,-0.00667157,0.335132,0.176177,1.46738,0.582365,-6.17981,4.49126
-0.359792,19.8633,0.56104,-0.0191443,0.358247,0.17641,1.45932,0.582761,-7.29144,4.82648
-0.394315,19.8155,0.572304,-0.0346853,0.379144,0.176331,1.44518,0.582705,-5.82678,5.10141
-0.436052,19.8004,0.580445,-0.043639,0.382973,0.179878,1.43639,0.584534,-8.68155,4.86174
-0.476007,19.7818,0.579064,-0.0372139,0.365386,0.179388,1.43987,0.586333,-5.95664,5.11039
-0.489168,19.7551,0.564945,-0.0235368,0.340069,0.174788,1.45222,0.586306,-6.17577,4.11116
-0.498872,19.7695,0.55307,-0.0021029,0.320035,0.171502,1.46331,0.585612,-8.42402,3.28471
-0.521525,19.6889,0.5107,0.0131962,0.306617,0.146529,1.45709,0.570355,-0.203035,2.58413
-0.554672,19.7793,0.479075,0.0320092,0.303474,0.116444,1.43596,0.554815,-4.84297,-0.113921
-0.578625,19.7299,0.420335,0.0527932,0.295148,0.0685094,1.40567,0.528647,1.61428,-1.82368
-0.599414,19.7482,0.444119,0.0418768,0.300381,0.0774356,1.39678,0.530185,2.45491,-0.828205
-0.621049,19.8217,0.559531,-0.0122334,0.324789,0.162121,1.41735,0.566081,-6.86214,3.08702
-0.542425,19.8374,0.66091,-0.0646121,0.350926,0.248269,1.4499,0.605746,-9.60558,8.09194
-0.55041,19.8575,0.704695,-0.0886139,0.363538,0.28954,1.47527,0.628142,-13.5271,9.87875
-0.565479,19.8798,0.6806,-0.0756325,0.35561,0.26996,1.47779,0.621829,-13.2939,8.38281
-0.647712,19.9189,0.581824,-0.0194866,0.32783,0.182106,1.45119,0.582587,-6.65451,4.05872
-0.663103,19.8909,0.449704,0.0513951,0.294201,0.0712363,1.40877,0.529395,2.49634,-1.42744
-0.662362,19.9265,0.406907,0.0798698,0.282475,0.0358082,1.38817,0.510289,3.07033,-3.61481
-0.550956,19.9469,0.478546,0.0403241,0.296024,0.101542,1.40568,0.53538,-0.315504,-0.217526
